year,round,pick,team,player,keeper
2021,1,1,Run C.M.C.,Christian McCaffrey,False
2021,1,2,Leaping  Gnome's,Dalvin Cook,False
2021,1,3,Slop 'em  up,Alvin Kamara,False
2021,1,4,Party Party Party Party,Davante Adams,False
2021,1,5,Fantasy  Football Team ,Derrick Henry,False
2021,1,6,Darth  Goose,Najee Harris,False
2021,1,7,Is Saquon  Toast? Yes,Saquon Barkley,False
2021,1,8,Team Bag,Ezekiel Elliott,False
2021,1,9,Im George K,Aaron Jones,False
2021,1,10,Chuba Chubb,Travis Kelce,False
2021,2,1,Chuba Chubb,Nick Chubb,False
2021,2,2,Im George K,Austin Ekeler,False
2021,2,3,Team Bag,Tyreek Hill,False
2021,2,4,Is Saquon  Toast? Yes,Jonathan Taylor,False
2021,2,5,Darth  Goose,Stefon Diggs,False
2021,2,6,Fantasy  Football Team ,Antonio Gibson,False
2021,2,7,Party Party Party Party,DK Metcalf,False
2021,2,8,Slop 'em  up,DeAndre Hopkins,False
2021,2,9,Leaping  Gnome's,Justin Jefferson,False
2021,2,10,Run C.M.C.,Calvin Ridley,False
2021,3,1,Run C.M.C.,Joe Mixon,False
2021,3,2,Leaping  Gnome's,A.J. Brown,False
2021,3,3,Slop 'em  up,James Robinson,False
2021,3,4,Party Party Party Party,Darren Waller,False
2021,3,5,Fantasy  Football Team ,Keenan Allen,False
2021,3,6,Darth  Goose,Mike Evans,False
2021,3,7,Is Saquon  Toast? Yes,Allen Robinson II,False
2021,3,8,Team Bag,Chris Carson,False
2021,3,9,Im George K,George Kittle,False
2021,3,10,Chuba Chubb,Terry McLaurin,False
2021,4,1,Chuba Chubb,Robert Woods,False
2021,4,2,Im George K,Patrick Mahomes,False
2021,4,3,Team Bag,Cooper Kupp,False
2021,4,4,Is Saquon  Toast? Yes,Mike Davis,False
2021,4,5,Darth  Goose,Adam Thielen,False
2021,4,6,Fantasy  Football Team ,Amari Cooper,False
2021,4,7,Party Party Party Party,Clyde Edwards-Helaire,False
2021,4,8,Slop 'em  up,Chris Godwin,False
2021,4,9,Leaping  Gnome's,Miles Sanders,False
2021,4,10,Run C.M.C.,David Montgomery,False
2021,5,1,Run C.M.C.,Julio Jones,False
2021,5,2,Leaping  Gnome's,Josh Allen,False
2021,5,3,Slop 'em  up,Kyle Pitts,False
2021,5,4,Party Party Party Party,Josh Jacobs,False
2021,5,5,Fantasy  Football Team ,Kyler Murray,False
2021,5,6,Darth  Goose,D'Andre Swift,False
2021,5,7,Is Saquon  Toast? Yes,Tyler Lockett,False
2021,5,8,Team Bag,Gus Edwards,False
2021,5,9,Im George K,Myles Gaskin,False
2021,5,10,Chuba Chubb,Javonte Williams,False
2021,6,1,Chuba Chubb,CeeDee Lamb,False
2021,6,2,Im George K,Odell Beckham Jr.,False
2021,6,3,Team Bag,DJ Moore,False
2021,6,4,Is Saquon  Toast? Yes,Kenny Golladay,False
2021,6,5,Darth  Goose,Robert Tonyan,False
2021,6,6,Fantasy  Football Team ,Kareem Hunt,False
2021,6,7,Party Party Party Party,Darrell Henderson Jr.,False
2021,6,8,Slop 'em  up,Raheem Mostert,False
2021,6,9,Leaping  Gnome's,T.J. Hockenson,False
2021,6,10,Run C.M.C.,Mark Andrews,False
2021,7,1,Run C.M.C.,Lamar Jackson,False
2021,7,2,Leaping  Gnome's,Brandon Aiyuk,False
2021,7,3,Slop 'em  up,Diontae Johnson,False
2021,7,4,Party Party Party Party,Robby Anderson,False
2021,7,5,Fantasy  Football Team ,Chase Edmonds,False
2021,7,6,Darth  Goose,Corey Davis,False
2021,7,7,Is Saquon  Toast? Yes,Justin Herbert,False
2021,7,8,Team Bag,Aaron Rodgers,False
2021,7,9,Im George K,DeVonta Smith,False
2021,7,10,Chuba Chubb,Michael Thomas,False
2021,8,1,Chuba Chubb,Courtland Sutton,False
2021,8,2,Im George K,JuJu Smith-Schuster,False
2021,8,3,Team Bag,Logan Thomas,False
2021,8,4,Is Saquon  Toast? Yes,Tyler Higbee,False
2021,8,5,Darth  Goose,Damien Harris,False
2021,8,6,Fantasy  Football Team ,Laviska Shenault Jr.,False
2021,8,7,Party Party Party Party,Tee Higgins,False
2021,8,8,Slop 'em  up,Sony Michel,False
2021,8,9,Leaping  Gnome's,Leonard Fournette,False
2021,8,10,Run C.M.C.,Chase Claypool,False
2021,9,1,Run C.M.C.,Ja'Marr Chase,False
2021,9,2,Leaping  Gnome's,Jerry Jeudy,False
2021,9,3,Slop 'em  up,Jaylen Waddle,False
