year,round,pick,team,player,keeper
2021,9,4,Party Party Party Party,Russell Wilson,False
2021,9,5,Fantasy  Football Team ,Kenyan Drake,False
2021,9,6,Darth  Goose,Matthew Stafford,False
2021,9,7,Is Saquon  Toast? Yes,Nyheim Hines,False
2021,9,8,Team Bag,Antonio Brown,False
2021,9,9,Im George K,Zack Moss,False
2021,9,10,Chuba Chubb,Melvin Gordon III,False
2021,10,1,Chuba Chubb,Devin Singletary,False
2021,10,2,Im George K,Cole Beasley,False
2021,10,3,Team Bag,Ronald Jones II,False
2021,10,4,Is Saquon  Toast? Yes,DJ Chark Jr.,False
2021,10,5,Darth  Goose,AJ Dillon,False
2021,10,6,Fantasy  Football Team ,Dak Prescott,False
2021,10,7,Party Party Party Party,Trey Sermon,False
2021,10,8,Slop 'em  up,Curtis Samuel,False
2021,10,9,Leaping  Gnome's,Jarvis Landry,False
2021,10,10,Run C.M.C.,Michael Carter,False
2021,11,1,Run C.M.C.,Brandin Cooks,False
2021,11,2,Leaping  Gnome's,James Conner,False
2021,11,3,Slop 'em  up,Michael Pittman Jr.,False
2021,11,4,Party Party Party Party,Deebo Samuel,False
2021,11,5,Fantasy  Football Team ,Noah Fant,False
2021,11,6,Darth  Goose,Marquise Brown,False
2021,11,7,Is Saquon  Toast? Yes,Marvin Jones Jr.,False
2021,11,8,Team Bag,Marquez Callaway,False
2021,11,9,Im George K,Jamaal Williams,False
2021,11,10,Chuba Chubb,Ryan Tannehill,False
2021,12,1,Chuba Chubb,Alexander Mattison,False
2021,12,2,Im George K,Malcolm Brown,False
2021,12,3,Team Bag,Tony Pollard,False
2021,12,4,Is Saquon  Toast? Yes,A.J. Green,False
2021,12,5,Darth  Goose,J.D. McKissic,False
2021,12,6,Fantasy  Football Team ,Jonnu Smith,False
2021,12,7,Party Party Party Party,Rams D/ST,False
2021,12,8,Slop 'em  up,Carlos Hyde,False
2021,12,9,Leaping  Gnome's,Steelers D/ST,False
2021,12,10,Run C.M.C.,Dallas Goedert,False
2021,13,1,Run C.M.C.,William Fuller V,False
2021,13,2,Leaping  Gnome's,T.Y. Hilton,False
2021,13,3,Slop 'em  up,Latavius Murray,False
2021,13,4,Party Party Party Party,Henry Ruggs III,False
2021,13,5,Fantasy  Football Team ,Evan Engram,False
2021,13,6,Darth  Goose,Commanders D/ST,False
2021,13,7,Is Saquon  Toast? Yes,Buccaneers D/ST,False
2021,13,8,Team Bag,Ravens D/ST,False
2021,13,9,Im George K,Darnell Mooney,False
2021,13,10,Chuba Chubb,Michael Gallup,False
2021,14,1,Chuba Chubb,Justin Tucker,False
2021,14,2,Im George K,Colts D/ST,False
2021,14,3,Team Bag,Rashaad Penny,False
2021,14,4,Is Saquon  Toast? Yes,Devontae Booker,False
2021,14,5,Darth  Goose,Benny Snell Jr.,False
2021,14,6,Fantasy  Football Team ,Patriots D/ST,False
2021,14,7,Party Party Party Party,Tyler Boyd,False
2021,14,8,Slop 'em  up,49ers D/ST,False
2021,14,9,Leaping  Gnome's,Harrison Butker,False
2021,14,10,Run C.M.C.,Bills D/ST,False
2021,15,1,Run C.M.C.,David Johnson,False
2021,15,2,Leaping  Gnome's,Wayne Gallman,False
2021,15,3,Slop 'em  up,Younghoe Koo,False
2021,15,4,Party Party Party Party,Elijah Moore,False
2021,15,5,Fantasy  Football Team ,Justin Fields,False
2021,15,6,Darth  Goose,Jason Sanders,False
2021,15,7,Is Saquon  Toast? Yes,Tom Brady,False
2021,15,8,Team Bag,Rodrigo Blankenship,False
2021,15,9,Im George K,Greg Zuerlein,False
2021,15,10,Chuba Chubb,Tevin Coleman,False
2021,16,1,Chuba Chubb,Vikings D/ST,False
2021,16,2,Im George K,Emmanuel Sanders,False
2021,16,3,Team Bag,Samaje Perine,False
2021,16,4,Is Saquon  Toast? Yes,Matt Gay,False
2021,16,5,Darth  Goose,Jameis Winston,False
2021,16,6,Fantasy  Football Team ,Mason Crosby,False
2021,16,7,Party Party Party Party,Daniel Carlson,False
2021,16,8,Slop 'em  up,Jalen Hurts,False
2021,16,9,Leaping  Gnome's,Ryan Fitzpatrick,False
2021,16,10,Run C.M.C.,Matt Prater,False
