year,round,pick,team,player,keeper
2022,1,1,Ice Cold DC's,Jonathan Taylor,False
2022,1,2,Go 1-0 Today,Christian McCaffrey,False
2022,1,3,Slop 'em  up,Austin Ekeler,False
2022,1,4,Chase Jefferson,Justin Jefferson,False
2022,1,5,The Yips!,Dalvin Cook,False
2022,1,6,Pierce  Walker,Joe Mixon,False
2022,1,7,Derrick Henny in my Kupp,Derrick Henry,False
2022,1,8,The Big  Tua,Tyreek Hill,False
2022,1,9,My Body Deshauns Choice,Najee Harris,False
2022,1,10,Joeman Sachs,Aaron Jones,False
2022,2,1,Joeman Sachs,Stefon Diggs,False
2022,2,2,My Body Deshauns Choice,Saquon Barkley,False
2022,2,3,The Big  Tua,Alvin Kamara,False
2022,2,4,Derrick Henny in my Kupp,Cooper Kupp,False
2022,2,5,Pierce  Walker,D'Andre Swift,False
2022,2,6,The Yips!,Javonte Williams,False
2022,2,7,Chase Jefferson,Ja'Marr Chase,False
2022,2,8,Slop 'em  up,Davante Adams,False
2022,2,9,Go 1-0 Today,Leonard Fournette,False
2022,2,10,Ice Cold DC's,Travis Kelce,False
2022,3,1,Ice Cold DC's,Deebo Samuel,False
2022,3,2,Go 1-0 Today,CeeDee Lamb,False
2022,3,3,Slop 'em  up,Nick Chubb,False
2022,3,4,Chase Jefferson,Mark Andrews,False
2022,3,5,The Yips!,A.J. Brown,False
2022,3,6,Pierce  Walker,Michael Pittman Jr.,False
2022,3,7,Derrick Henny in my Kupp,Mike Evans,False
2022,3,8,The Big  Tua,Mike Williams,False
2022,3,9,My Body Deshauns Choice,James Conner,False
2022,3,10,Joeman Sachs,Kyle Pitts,False
2022,4,1,Joeman Sachs,Keenan Allen,False
2022,4,2,My Body Deshauns Choice,Courtland Sutton,False
2022,4,3,The Big  Tua,Allen Lazard,False
2022,4,4,Derrick Henny in my Kupp,Ezekiel Elliott,False
2022,4,5,Pierce  Walker,Rashard Higgins,False
2022,4,6,The Yips!,Terry McLaurin,False
2022,4,7,Chase Jefferson,Breece Hall,False
2022,4,8,Slop 'em  up,Jaylen Waddle,False
2022,4,9,Go 1-0 Today,Diontae Johnson,False
2022,4,10,Ice Cold DC's,Josh Allen,False
2022,5,1,Ice Cold DC's,Travis Etienne Jr.,False
2022,5,2,Go 1-0 Today,George Kittle,False
2022,5,3,Slop 'em  up,Cam Akers,False
2022,5,4,Chase Jefferson,Elijah Mitchell,False
2022,5,5,The Yips!,DK Metcalf,False
2022,5,6,Pierce  Walker,Gabe Davis,False
2022,5,7,Derrick Henny in my Kupp,DJ Moore,False
2022,5,8,The Big  Tua,Josh Jacobs,False
2022,5,9,My Body Deshauns Choice,Allen Robinson II,False
2022,5,10,Joeman Sachs,Clyde Edwards-Helaire,False
2022,6,1,Joeman Sachs,Justin Herbert,False
2022,6,2,My Body Deshauns Choice,JuJu Smith-Schuster,False
2022,6,3,The Big  Tua,Kareem Hunt,False
2022,6,4,Derrick Henny in my Kupp,J.K. Dobbins,False
2022,6,5,Pierce  Walker,Jerry Jeudy,False
2022,6,6,The Yips!,Darren Waller,False
2022,6,7,Chase Jefferson,AJ Dillon,False
2022,6,8,Slop 'em  up,Amari Cooper,False
2022,6,9,Go 1-0 Today,David Montgomery,False
2022,6,10,Ice Cold DC's,Amon-Ra St. Brown,False
2022,7,1,Ice Cold DC's,Chase Edmonds,False
2022,7,2,Go 1-0 Today,Lamar Jackson,False
2022,7,3,Slop 'em  up,Dalton Schultz,False
2022,7,4,Chase Jefferson,Antonio Gibson,False
2022,7,5,The Yips!,Patrick Mahomes,False
2022,7,6,Pierce  Walker,Rashod Bateman,False
2022,7,7,Derrick Henny in my Kupp,Kyler Murray,False
2022,7,8,The Big  Tua,DeVonta Smith,False
2022,7,9,My Body Deshauns Choice,Adam Thielen,False
2022,7,10,Joeman Sachs,Tony Pollard,False
2022,8,1,Joeman Sachs,Hunter Renfrow,False
2022,8,2,My Body Deshauns Choice,T.J. Hockenson,False
2022,8,3,The Big  Tua,Austin Hooper,False
2022,8,4,Derrick Henny in my Kupp,Dallas Goedert,False
2022,8,5,Pierce  Walker,Dameon Pierce,False
2022,8,6,The Yips!,Marquise Brown,False
2022,8,7,Chase Jefferson,Miles Sanders,False
2022,8,8,Slop 'em  up,Damien Harris,False
2022,8,9,Go 1-0 Today,Chris Godwin,False
2022,8,10,Ice Cold DC's,Brandin Cooks,False
2022,9,1,Ice Cold DC's,Michael Thomas,False
2022,9,2,Go 1-0 Today,Rhamondre Stevenson,False
2022,9,3,Slop 'em  up,Jalen Hurts,False
2022,9,4,Chase Jefferson,Joe Burrow,False
2022,9,5,The Yips!,James Cook,False
2022,9,6,Pierce  Walker,Cordarrelle Patterson,False
2022,9,7,Derrick Henny in my Kupp,Rashaad Penny,False
2022,9,8,The Big  Tua,Chase Claypool,False
2022,9,9,My Body Deshauns Choice,Brandon Aiyuk,False
2022,9,10,Joeman Sachs,Kadarius Toney,False
2022,10,1,Joeman Sachs,Devin Singletary,False
2022,10,2,My Body Deshauns Choice,Russell Wilson,False
2022,10,3,The Big  Tua,Melvin Gordon III,False
2022,10,4,Derrick Henny in my Kupp,Darnell Mooney,False
2022,10,5,Pierce  Walker,Elijah Moore,False
2022,10,6,The Yips!,Alexander Mattison,False
2022,10,7,Chase Jefferson,Kenneth Walker III,False
2022,10,8,Slop 'em  up,DeAndre Hopkins,False
2022,10,9,Go 1-0 Today,Robert Woods,False
2022,10,10,Ice Cold DC's,Drake London,False
2022,11,1,Ice Cold DC's,Christian Kirk,False
2022,11,2,Go 1-0 Today,Darrell Henderson Jr.,False
2022,11,3,Slop 'em  up,Jarvis Landry,False
2022,11,4,Chase Jefferson,Tyler Lockett,False
2022,11,5,The Yips!,Hunter Henry,False
2022,11,6,Pierce  Walker,Michael Gallup,False
2022,11,7,Derrick Henny in my Kupp,Zach Ertz,False
2022,11,8,The Big  Tua,Albert Okwuegbunam,False
2022,11,9,My Body Deshauns Choice,Dawson Knox,False
2022,11,10,Joeman Sachs,David Njoku,False
2022,12,1,Joeman Sachs,49ers D/ST,False
2022,12,2,My Body Deshauns Choice,Nyheim Hines,False
2022,12,3,The Big  Tua,Aaron Rodgers,False
2022,12,4,Derrick Henny in my Kupp,Michael Carter,False
2022,12,5,Pierce  Walker,Pat Freiermuth,False
2022,12,6,The Yips!,Tua Tagovailoa,False
2022,12,7,Chase Jefferson,George Pickens,False
2022,12,8,Slop 'em  up,Julio Jones,False
2022,12,9,Go 1-0 Today,James Robinson,False
2022,12,10,Ice Cold DC's,Skyy Moore,False
2022,13,1,Ice Cold DC's,Rondale Moore,False
2022,13,2,Go 1-0 Today,DeVante Parker,False
2022,13,3,Slop 'em  up,Jamaal Williams,False
2022,13,4,Chase Jefferson,Corey Davis,False
2022,13,5,The Yips!,Ronald Jones,False
2022,13,6,Pierce  Walker,Tom Brady,False
2022,13,7,Derrick Henny in my Kupp,Tyler Boyd,False
2022,13,8,The Big  Tua,Broncos D/ST,False
2022,13,9,My Body Deshauns Choice,D'Onta Foreman,False
2022,13,10,Joeman Sachs,Snoop Conner,False
2022,14,1,Joeman Sachs,Justin Tucker,False
2022,14,2,My Body Deshauns Choice,Bills D/ST,False
2022,14,3,The Big  Tua,Harrison Butker,False
2022,14,4,Derrick Henny in my Kupp,Tyler Bass,False
2022,14,5,Pierce  Walker,Evan McPherson,False
2022,14,6,The Yips!,Patriots D/ST,False
2022,14,7,Chase Jefferson,Tyler Allgeier,False
2022,14,8,Slop 'em  up,Rams D/ST,False
2022,14,9,Go 1-0 Today,Chuba Hubbard,False
2022,14,10,Ice Cold DC's,Daniel Carlson,False
2022,15,1,Ice Cold DC's,Raheem Mostert,False
