year,round,pick,team,player,keeper
2022,15,2,Go 1-0 Today,Buccaneers D/ST,False
2022,15,3,Slop 'em  up,Matt Gay,False
2022,15,4,Chase Jefferson,Saints D/ST,False
2022,15,5,The Yips!,Darrel Williams,False
2022,15,6,Pierce  Walker,Packers D/ST,False
2022,15,7,Derrick Henny in my Kupp,Colts D/ST,False
2022,15,8,The Big  Tua,Mark Ingram II,False
2022,15,9,My Body Deshauns Choice,Isiah Pacheco,False
2022,15,10,Joeman Sachs,Matthew Stafford,False
2022,16,1,Joeman Sachs,Benny Snell Jr.,False
2022,16,2,My Body Deshauns Choice,Brandon McManus,False
2022,16,3,The Big  Tua,Laviska Shenault Jr.,False
2022,16,4,Derrick Henny in my Kupp,Dak Prescott,False
2022,16,5,Pierce  Walker,Samaje Perine,False
2022,16,6,The Yips!,Dustin Hopkins,False
2022,16,7,Chase Jefferson,Younghoe Koo,False
2022,16,8,Slop 'em  up,Logan Thomas,False
2022,16,9,Go 1-0 Today,Rodrigo Blankenship,False
2022,16,10,Ice Cold DC's,Commanders D/ST,False
