year,round,pick,team,player,keeper
2025,12,1,Brockenheimer,Brandon Aiyuk,False
2025,12,2,King Henry,Keenan Allen,False
2025,12,3,Joeman Sachs,Texans D/ST,False
2025,12,4,The Medical Tent,Chris Godwin Jr.,False
2025,12,5,Cardi B's Baby Bump ,Joe Mixon,False
2025,12,6,Would Be a Miracle FC,Caleb Williams,False
2025,12,7,🐍Swifties🐍,C.J. Stroud,False
2025,12,8,What up my Njigbas,Rhamondre Stevenson,False
2025,12,9,Tim Jong Un,Cam Skattebo,False
2025,12,10,Always Open ,Tyler Allgeier,False
2025,13,1,Always Open ,Brian Robinson Jr.,False
2025,13,2,Tim Jong Un,Dak Prescott,False
2025,13,3,What up my Njigbas,Jaydon Blue,False
2025,13,4,🐍Swifties🐍,Trey Benson,False
2025,13,5,Would Be a Miracle FC,Bhayshul Tuten,False
2025,13,6,Cardi B's Baby Bump ,Ray Davis,False
2025,13,7,The Medical Tent,Jayden Reed,False
2025,13,8,Joeman Sachs,Kyler Murray,False
2025,13,9,King Henry,Justin Herbert,False
2025,13,10,Brockenheimer,Brandon Aubrey,False
2025,14,1,Brockenheimer,Dylan Sampson,False
2025,14,2,King Henry,Jake Bates,False
2025,14,3,Joeman Sachs,Drake Maye,False
2025,14,4,The Medical Tent,Steelers D/ST,False
2025,14,5,Cardi B's Baby Bump ,Ollie Gordon II,False
2025,14,6,Would Be a Miracle FC,Broncos D/ST,False
2025,14,7,🐍Swifties🐍,Ravens D/ST,False
2025,14,8,What up my Njigbas,Vikings D/ST,False
2025,14,9,Tim Jong Un,Kyle Pitts Sr.,False
2025,14,10,Always Open ,DJ Giddens,False
2025,15,1,Always Open ,Jets D/ST,False
2025,15,2,Tim Jong Un,Eagles D/ST,False
2025,15,3,What up my Njigbas,Chase McLaughlin,False
2025,15,4,🐍Swifties🐍,Chris Boswell,False
2025,15,5,Would Be a Miracle FC,Tucker Kraft,False
2025,15,6,Cardi B's Baby Bump ,Bills D/ST,False
2025,15,7,The Medical Tent,Dallas Goedert,False
2025,15,8,Joeman Sachs,Darnell Mooney,False
2025,15,9,King Henry,Rashid Shaheed,False
2025,15,10,Brockenheimer,Tyjae Spears,False
2025,16,1,Brockenheimer,Giants D/ST,False
2025,16,2,King Henry,Chiefs D/ST,False
2025,16,3,Joeman Sachs,Xavier Legette,False
2025,16,4,The Medical Tent,Harrison Butker,False
2025,16,5,Cardi B's Baby Bump ,Ka'imi Fairbairn,False
2025,16,6,Would Be a Miracle FC,Cam Little,False
2025,16,7,🐍Swifties🐍,Will Shipley,False
2025,16,8,What up my Njigbas,Najee Harris,False
2025,16,9,Tim Jong Un,Wil Lutz,False
2025,16,10,Always Open ,Jake Elliott,False
