year,round,pick,team,player,keeper
2025,1,1,Always Open ,Ja'Marr Chase,False
2025,1,2,Tim Jong Un,Bijan Robinson,False
2025,1,3,What up my Njigbas,Jahmyr Gibbs,False
2025,1,4,🐍Swifties🐍,Saquon Barkley,False
2025,1,5,Would Be a Miracle FC,CeeDee Lamb,False
2025,1,6,Cardi B's Baby Bump ,Justin Jefferson,False
2025,1,7,The Medical Tent,Malik Nabers,False
2025,1,8,Joeman Sachs,Amon-Ra St. Brown,False
2025,1,9,King Henry,Nico Collins,False
2025,1,10,Brockenheimer,Brock Bowers,False
2025,2,1,Brockenheimer,De'Von Achane,False
2025,2,2,King Henry,Derrick Henry,False
2025,2,3,Joeman Sachs,Christian McCaffrey,False
2025,2,4,The Medical Tent,Puka Nacua,False
2025,2,5,Cardi B's Baby Bump ,Chase Brown,False
2025,2,6,Would Be a Miracle FC,Bucky Irving,False
2025,2,7,🐍Swifties🐍,Drake London,False
2025,2,8,What up my Njigbas,Brian Thomas Jr.,False
2025,2,9,Tim Jong Un,Ashton Jeanty,False
2025,2,10,Always Open ,Jonathan Taylor,False
2025,3,1,Always Open ,Trey McBride,False
2025,3,2,Tim Jong Un,A.J. Brown,False
2025,3,3,What up my Njigbas,Ladd McConkey,False
2025,3,4,🐍Swifties🐍,Marvin Harrison Jr.,False
2025,3,5,Would Be a Miracle FC,Josh Jacobs,False
2025,3,6,Cardi B's Baby Bump ,Josh Allen,False
2025,3,7,The Medical Tent,Lamar Jackson,False
2025,3,8,Joeman Sachs,Tee Higgins,False
2025,3,9,King Henry,Tyreek Hill,False
2025,3,10,Brockenheimer,James Cook III,False
2025,4,1,Brockenheimer,Kyren Williams,False
2025,4,2,King Henry,Jayden Daniels,False
2025,4,3,Joeman Sachs,Alvin Kamara,False
2025,4,4,The Medical Tent,Omarion Hampton,False
2025,4,5,Cardi B's Baby Bump ,Chuba Hubbard,False
2025,4,6,Would Be a Miracle FC,Kenneth Walker III,False
2025,4,7,🐍Swifties🐍,RJ Harvey,False
2025,4,8,What up my Njigbas,Jaxon Smith-Njigba,False
2025,4,9,Tim Jong Un,George Kittle,False
2025,4,10,Always Open ,Jalen Hurts,False
2025,5,1,Always Open ,Garrett Wilson,False
2025,5,2,Tim Jong Un,Davante Adams,False
2025,5,3,What up my Njigbas,DK Metcalf,False
2025,5,4,🐍Swifties🐍,Mike Evans,False
2025,5,5,Would Be a Miracle FC,TreVeyon Henderson,False
2025,5,6,Cardi B's Baby Bump ,Terry McLaurin,False
2025,5,7,The Medical Tent,James Conner,False
2025,5,8,Joeman Sachs,Patrick Mahomes,False
2025,5,9,King Henry,Breece Hall,False
2025,5,10,Brockenheimer,DeVonta Smith,False
2025,6,1,Brockenheimer,Xavier Worthy,False
2025,6,2,King Henry,Sam LaPorta,False
2025,6,3,Joeman Sachs,T.J. Hockenson,False
2025,6,4,The Medical Tent,D'Andre Swift,False
2025,6,5,Cardi B's Baby Bump ,DJ Moore,False
2025,6,6,Would Be a Miracle FC,Tetairoa McMillan,False
2025,6,7,🐍Swifties🐍,Travis Kelce,False
2025,6,8,What up my Njigbas,Tony Pollard,False
2025,6,9,Tim Jong Un,Joe Burrow,False
2025,6,10,Always Open ,Jameson Williams,False
2025,7,1,Always Open ,Jaylen Waddle,False
2025,7,2,Tim Jong Un,George Pickens,False
2025,7,3,What up my Njigbas,Ricky Pearsall,False
2025,7,4,🐍Swifties🐍,Zay Flowers,False
2025,7,5,Would Be a Miracle FC,Emeka Egbuka,False
2025,7,6,Cardi B's Baby Bump ,Courtland Sutton,False
2025,7,7,The Medical Tent,Rashee Rice,False
2025,7,8,Joeman Sachs,Jerry Jeudy,False
2025,7,9,King Henry,Calvin Ridley,False
2025,7,10,Brockenheimer,Tyrone Tracy Jr.,False
2025,8,1,Brockenheimer,Travis Hunter,False
2025,8,2,King Henry,David Montgomery,False
2025,8,3,Joeman Sachs,Michael Pittman Jr.,False
2025,8,4,The Medical Tent,Isiah Pacheco,False
2025,8,5,Cardi B's Baby Bump ,Kaleb Johnson,False
2025,8,6,Would Be a Miracle FC,Jacory Croskey-Merritt,False
2025,8,7,🐍Swifties🐍,Cooper Kupp,False
2025,8,8,What up my Njigbas,Bo Nix,False
2025,8,9,Tim Jong Un,Rome Odunze,False
2025,8,10,Always Open ,Aaron Jones Sr.,False
2025,9,1,Always Open ,Zach Charbonnet,False
2025,9,2,Tim Jong Un,Chris Olave,False
2025,9,3,What up my Njigbas,Javonte Williams,False
2025,9,4,🐍Swifties🐍,Tank Bigsby,False
2025,9,5,Would Be a Miracle FC,Stefon Diggs,False
2025,9,6,Cardi B's Baby Bump ,Jordan Mason,False
2025,9,7,The Medical Tent,Jakobi Meyers,False
2025,9,8,Joeman Sachs,J.K. Dobbins,False
2025,9,9,King Henry,Jaylen Warren,False
2025,9,10,Brockenheimer,Jordan Addison,False
2025,10,1,Brockenheimer,Deebo Samuel,False
2025,10,2,King Henry,Matthew Golden,False
2025,10,3,Joeman Sachs,Austin Ekeler,False
2025,10,4,The Medical Tent,Keon Coleman,False
2025,10,5,Cardi B's Baby Bump ,Khalil Shakir,False
2025,10,6,Would Be a Miracle FC,Baker Mayfield,False
2025,10,7,🐍Swifties🐍,Tyler Warren,False
2025,10,8,What up my Njigbas,Mark Andrews,False
2025,10,9,Tim Jong Un,Travis Etienne Jr.,False
2025,10,10,Always Open ,Jauan Jennings,False
2025,11,1,Always Open ,David Njoku,False
2025,11,2,Tim Jong Un,Braelon Allen,False
2025,11,3,What up my Njigbas,Hollywood Brown,False
2025,11,4,🐍Swifties🐍,Josh Downs,False
2025,11,5,Would Be a Miracle FC,Quinshon Judkins,False
2025,11,6,Cardi B's Baby Bump ,Colston Loveland,False
2025,11,7,The Medical Tent,Nick Chubb,False
2025,11,8,Joeman Sachs,Cameron Dicker,False
2025,11,9,King Henry,Evan Engram,False
2025,11,10,Brockenheimer,Brock Purdy,False
