year,week,home_team,home_score,away_team,away_score,playoff
2024,1,Team,108.28,Rijan Bobinson,140.98,False
2024,1,Personal Caddy For Hire,118.88,Brockenheimer,71.36,False
2024,1,Pay Chase and Chase,75.64,Joeman Sachs,61.72,False
2024,1,Titans Kickoff TD,95.86,Captain Kirk,129.42,False
2024,1,Women in the Kitchen ,136.1,The Joe Joe Siwas,77.46,False
2024,2,Rijan Bobinson,122.14,Brockenheimer,136.62,False
2024,2,Joeman Sachs,102.42,Team,112.36,False
2024,2,Captain Kirk,114.08,Personal Caddy For Hire,90.26,False
2024,2,The Joe Joe Siwas,94.42,Pay Chase and Chase,123.54,False
2024,2,Women in the Kitchen ,125.04,Titans Kickoff TD,91.0,False
2024,3,Joeman Sachs,70.64,Rijan Bobinson,149.38,False
2024,3,Brockenheimer,112.38,Captain Kirk,93.98,False
2024,3,Team,38.28,The Joe Joe Siwas,95.96,False
2024,3,Personal Caddy For Hire,143.22,Women in the Kitchen ,157.36,False
2024,3,Pay Chase and Chase,117.68,Titans Kickoff TD,104.1,False
2024,4,Rijan Bobinson,98.58,Captain Kirk,134.34,False
2024,4,The Joe Joe Siwas,86.58,Joeman Sachs,117.72,False
2024,4,Women in the Kitchen ,104.82,Brockenheimer,66.02,False
2024,4,Titans Kickoff TD,105.6,Team,96.08,False
2024,4,Pay Chase and Chase,123.7,Personal Caddy For Hire,99.4,False
2024,5,The Joe Joe Siwas,132.98,Rijan Bobinson,96.3,False
2024,5,Captain Kirk,130.12,Women in the Kitchen ,115.02,False
2024,5,Joeman Sachs,98.2,Titans Kickoff TD,110.94,False
2024,5,Brockenheimer,106.66,Pay Chase and Chase,118.26,False
2024,5,Team,106.94,Personal Caddy For Hire,100.34,False
2024,6,Rijan Bobinson,107.36,Women in the Kitchen ,99.16,False
2024,6,Titans Kickoff TD,112.38,The Joe Joe Siwas,158.22,False
2024,6,Pay Chase and Chase,85.6,Captain Kirk,110.22,False
