year,week,home_team,home_score,away_team,away_score,playoff
2025,1,The Medical Tent,101.46,Always Open ,97.08,False
2025,1,Would Be a Miracle FC,115.18,Brockenheimer,89.32,False
2025,1,Cardi B's Baby Bump ,116.66,Joeman Sachs,97.82,False
2025,1,Tim Jong Un,74.62,King Henry,100.52,False
2025,1,What up my Njigbas,66.04,🐍Swifties🐍,79.92,False
2025,2,Always Open ,132.44,Brockenheimer,123.1,False
2025,2,Joeman Sachs,124.38,The Medical Tent,119.6,False
2025,2,King Henry,88.1,Would Be a Miracle FC,105.58,False
2025,2,🐍Swifties🐍,82.58,Cardi B's Baby Bump ,77.82,False
2025,2,What up my Njigbas,95.54,Tim Jong Un,87.64,False
2025,3,Joeman Sachs,91.06,Always Open ,130.04,False
2025,3,Brockenheimer,106.76,King Henry,102.7,False
2025,3,The Medical Tent,87.22,🐍Swifties🐍,47.76,False
2025,3,Would Be a Miracle FC,92.12,What up my Njigbas,130.72,False
2025,3,Cardi B's Baby Bump ,103.72,Tim Jong Un,104.54,False
2025,4,Always Open ,112.8,King Henry,69.12,False
2025,4,🐍Swifties🐍,87.52,Joeman Sachs,119.7,False
2025,4,What up my Njigbas,73.18,Brockenheimer,131.24,False
2025,4,Tim Jong Un,145.44,The Medical Tent,119.08,False
2025,4,Cardi B's Baby Bump ,125.26,Would Be a Miracle FC,125.38,False
2025,5,🐍Swifties🐍,97.16,Always Open ,127.7,False
2025,5,King Henry,113.34,What up my Njigbas,112.98,False
2025,5,Joeman Sachs,119.52,Tim Jong Un,99.42,False
2025,5,Brockenheimer,88.6,Cardi B's Baby Bump ,137.82,False
2025,5,The Medical Tent,91.32,Would Be a Miracle FC,125.26,False
2025,6,Always Open ,116.44,What up my Njigbas,117.78,False
2025,6,Tim Jong Un,118.44,🐍Swifties🐍,111.82,False
2025,6,Cardi B's Baby Bump ,77.3,King Henry,75.34,False
2025,6,Would Be a Miracle FC,99.98,Joeman Sachs,117.58,False
2025,6,The Medical Tent,81.44,Brockenheimer,104.06,False
2025,7,Tim Jong Un,105.46,Always Open ,137.24,False
2025,7,What up my Njigbas,131.22,Cardi B's Baby Bump ,106.16,False
2025,7,🐍Swifties🐍,68.84,Would Be a Miracle FC,121.08,False
2025,7,King Henry,95.84,The Medical Tent,87.32,False
2025,7,Joeman Sachs,142.24,Brockenheimer,107.96,False
2025,8,Always Open ,143.16,Cardi B's Baby Bump ,97.42,False
2025,8,Would Be a Miracle FC,100.7,Tim Jong Un,91.92,False
2025,8,The Medical Tent,57.98,What up my Njigbas,104.68,False
2025,8,Brockenheimer,124.88,🐍Swifties🐍,130.32,False
2025,8,Joeman Sachs,102.86,King Henry,103.54,False
2025,9,Would Be a Miracle FC,116.16,Always Open ,129.1,False
2025,9,Cardi B's Baby Bump ,84.92,The Medical Tent,103.74,False
2025,9,Tim Jong Un,92.7,Brockenheimer,109.72,False
2025,9,What up my Njigbas,72.68,Joeman Sachs,139.4,False
2025,9,🐍Swifties🐍,109.96,King Henry,115.2,False
2025,10,Always Open ,153.92,The Medical Tent,104.28,False
2025,10,Brockenheimer,108.0,Would Be a Miracle FC,118.84,False
2025,10,Joeman Sachs,92.6,Cardi B's Baby Bump ,83.54,False
2025,10,King Henry,91.9,Tim Jong Un,122.1,False
2025,10,🐍Swifties🐍,113.4,What up my Njigbas,117.2,False
2025,11,Brockenheimer,105.6,Always Open ,90.1,False
2025,11,The Medical Tent,82.42,Joeman Sachs,91.64,False
2025,11,Would Be a Miracle FC,94.62,King Henry,71.74,False
2025,11,Cardi B's Baby Bump ,121.98,🐍Swifties🐍,80.64,False
2025,11,Tim Jong Un,149.52,What up my Njigbas,87.16,False
2025,12,Always Open ,90.36,Joeman Sachs,106.38,False
2025,12,King Henry,113.46,Brockenheimer,88.02,False
2025,12,🐍Swifties🐍,94.16,The Medical Tent,92.08,False
2025,12,What up my Njigbas,159.44,Would Be a Miracle FC,107.42,False
2025,12,Tim Jong Un,147.82,Cardi B's Baby Bump ,78.82,False
2025,13,King Henry,91.54,Always Open ,127.7,False
2025,13,Joeman Sachs,83.74,🐍Swifties🐍,87.06,False
2025,13,Brockenheimer,126.64,What up my Njigbas,95.34,False
2025,13,The Medical Tent,99.46,Tim Jong Un,110.42,False
2025,13,Would Be a Miracle FC,103.94,Cardi B's Baby Bump ,85.72,False
2025,14,Always Open ,100.1,🐍Swifties🐍,94.66,False
2025,14,What up my Njigbas,106.8,King Henry,67.96,False
2025,14,Tim Jong Un,80.54,Joeman Sachs,125.4,False
2025,14,Cardi B's Baby Bump ,116.84,Brockenheimer,16.0,False
2025,14,Would Be a Miracle FC,125.76,The Medical Tent,130.08,False
2025,15,What up my Njigbas,140.9,Tim Jong Un,145.22,True
2025,15,Always Open ,121.7,Brockenheimer,120.6,True
2025,16,Joeman Sachs,126.5,Tim Jong Un,166.36,True
2025,16,Would Be a Miracle FC,99.04,Always Open ,88.4,True
2025,16,What up my Njigbas,85.02,Brockenheimer,128.96,True
2025,17,Would Be a Miracle FC,116.6,Tim Jong Un,133.58,True
2025,17,Joeman Sachs,97.74,Always Open ,95.1,True
2025,17,What up my Njigbas,104.38,Brockenheimer,101.42,True
