year,round,pick,team,player,keeper
2024,1,1,Joeman Sachs,Christian McCaffrey,False
2024,1,2,Pay Chase and Chase,Ja'Marr Chase,False
2024,1,3,The Joe Joe Siwas,CeeDee Lamb,False
2024,1,4,Captain Kirk,Tyreek Hill,False
2024,1,5,Brockenheimer,Amon-Ra St. Brown,False
2024,1,6,Team,Breece Hall,False
2024,1,7,Women in the Kitchen ,Justin Jefferson,False
2024,1,8,Rijan Bobinson,Bijan Robinson,False
2024,1,9,Titans Kickoff TD,A.J. Brown,False
2024,1,10,Personal Caddy For Hire,Kyren Williams,False
2024,2,1,Personal Caddy For Hire,Garrett Wilson,False
2024,2,2,Titans Kickoff TD,Jonathan Taylor,False
2024,2,3,Rijan Bobinson,Jahmyr Gibbs,False
2024,2,4,Women in the Kitchen ,Saquon Barkley,False
2024,2,5,Team,Puka Nacua,False
2024,2,6,Brockenheimer,De'Von Achane,False
2024,2,7,Captain Kirk,Derrick Henry,False
2024,2,8,The Joe Joe Siwas,Drake London,False
2024,2,9,Pay Chase and Chase,Isiah Pacheco,False
2024,2,10,Joeman Sachs,Chris Olave,False
2024,3,1,Joeman Sachs,Nico Collins,False
2024,3,2,Pay Chase and Chase,Marvin Harrison Jr.,False
2024,3,3,The Joe Joe Siwas,Zay Flowers,False
2024,3,4,Captain Kirk,Davante Adams,False
2024,3,5,Brockenheimer,Deebo Samuel Sr.,False
2024,3,6,Team,Travis Etienne Jr.,False
2024,3,7,Women in the Kitchen ,Jaylen Waddle,False
2024,3,8,Rijan Bobinson,Cooper Kupp,False
2024,3,9,Titans Kickoff TD,Sam LaPorta,False
2024,3,10,Personal Caddy For Hire,Josh Allen,False
2024,4,1,Personal Caddy For Hire,Michael Pittman Jr.,False
2024,4,2,Titans Kickoff TD,Brandon Aiyuk,False
2024,4,3,Rijan Bobinson,DeVonta Smith,False
2024,4,4,Women in the Kitchen ,DK Metcalf,False
2024,4,5,Team,Travis Kelce,False
2024,4,6,Brockenheimer,James Cook,False
2024,4,7,Captain Kirk,Mike Evans,False
2024,4,8,The Joe Joe Siwas,Joe Burrow,False
2024,4,9,Pay Chase and Chase,Patrick Mahomes,False
2024,4,10,Joeman Sachs,Jalen Hurts,False
2024,5,1,Joeman Sachs,Mark Andrews,False
2024,5,2,Pay Chase and Chase,Trey McBride,False
2024,5,3,The Joe Joe Siwas,Joe Mixon,False
2024,5,4,Captain Kirk,Lamar Jackson,False
2024,5,5,Brockenheimer,Tee Higgins,False
2024,5,6,Team,Amari Cooper,False
2024,5,7,Women in the Kitchen ,Josh Jacobs,False
2024,5,8,Rijan Bobinson,Kenneth Walker III,False
2024,5,9,Titans Kickoff TD,Rachaad White,False
2024,5,10,Personal Caddy For Hire,George Pickens,False
2024,6,1,Personal Caddy For Hire,DJ Moore,False
2024,6,2,Titans Kickoff TD,Malik Nabers,False
2024,6,3,Rijan Bobinson,David Montgomery,False
2024,6,4,Women in the Kitchen ,Alvin Kamara,False
2024,6,5,Team,James Conner,False
2024,6,6,Brockenheimer,Rashee Rice,False
2024,6,7,Captain Kirk,Dalton Kincaid,False
2024,6,8,The Joe Joe Siwas,Tank Dell,False
2024,6,9,Pay Chase and Chase,Terry McLaurin,False
2024,6,10,Joeman Sachs,Keenan Allen,False
2024,7,1,Joeman Sachs,Chris Godwin,False
2024,7,2,Pay Chase and Chase,Nick Chubb,False
2024,7,3,The Joe Joe Siwas,Trey Benson,False
2024,7,4,Captain Kirk,Rhamondre Stevenson,False
2024,7,5,Brockenheimer,Dak Prescott,False
2024,7,6,Team,Anthony Richardson,False
2024,7,7,Women in the Kitchen ,Jayden Reed,False
2024,7,8,Rijan Bobinson,Jake Ferguson,False
2024,7,9,Titans Kickoff TD,Stefon Diggs,False
2024,7,10,Personal Caddy For Hire,Kyle Pitts,False
2024,8,1,Personal Caddy For Hire,Javonte Williams,False
2024,8,2,Titans Kickoff TD,C.J. Stroud,False
2024,8,3,Rijan Bobinson,Christian Kirk,False
2024,8,4,Women in the Kitchen ,Xavier Worthy,False
2024,8,5,Team,Calvin Ridley,False
2024,8,6,Brockenheimer,Raheem Mostert,False
2024,8,7,Captain Kirk,Zamir White,False
2024,8,8,The Joe Joe Siwas,Tyjae Spears,False
2024,8,9,Pay Chase and Chase,Aaron Jones,False
2024,8,10,Joeman Sachs,D'Andre Swift,False
2024,9,1,Joeman Sachs,Justin Tucker,False
2024,9,2,Pay Chase and Chase,Jerome Ford,False
2024,9,3,The Joe Joe Siwas,Keon Coleman,False
2024,9,4,Captain Kirk,Christian Watson,False
2024,9,5,Brockenheimer,Ladd McConkey,False
2024,9,6,Team,Hollywood Brown,False
2024,9,7,Women in the Kitchen ,Evan Engram,False
2024,9,8,Rijan Bobinson,George Kittle,False
2024,9,9,Titans Kickoff TD,Najee Harris,False
2024,9,10,Personal Caddy For Hire,Zack Moss,False
2024,10,1,Personal Caddy For Hire,Tony Pollard,False
2024,10,2,Titans Kickoff TD,Brian Robinson Jr.,False
2024,10,3,Rijan Bobinson,Kyler Murray,False
2024,10,4,Women in the Kitchen ,Jordan Addison,False
2024,10,5,Team,Rome Odunze,False
2024,10,6,Brockenheimer,Brock Bowers,False
2024,10,7,Captain Kirk,Jaylen Warren,False
2024,10,8,The Joe Joe Siwas,Jonathon Brooks,False
2024,10,9,Pay Chase and Chase,David Njoku,False
2024,10,10,Joeman Sachs,Devin Singletary,False
2024,11,1,Joeman Sachs,49ers D/ST,False
2024,11,2,Pay Chase and Chase,Chase Brown,False
2024,11,3,The Joe Joe Siwas,Luke Musgrave,False
2024,11,4,Captain Kirk,Diontae Johnson,False
2024,11,5,Brockenheimer,Justin Herbert,False
2024,11,6,Team,Blake Corum,False
2024,11,7,Women in the Kitchen ,Jordan Love,False
2024,11,8,Rijan Bobinson,Austin Ekeler,False
2024,11,9,Titans Kickoff TD,Courtland Sutton,False
2024,11,10,Personal Caddy For Hire,Brian Thomas Jr.,False
2024,12,1,Personal Caddy For Hire,Jameson Williams,False
2024,12,2,Titans Kickoff TD,Jaxon Smith-Njigba,False
2024,12,3,Rijan Bobinson,Zach Charbonnet,False
2024,12,4,Women in the Kitchen ,Tyler Allgeier,False
2024,12,5,Team,Gus Edwards,False
2024,12,6,Brockenheimer,T.J. Hockenson,False
2024,12,7,Captain Kirk,Tua Tagovailoa,False
2024,12,8,The Joe Joe Siwas,DeAndre Hopkins,False
2024,12,9,Pay Chase and Chase,Joshua Palmer,False
2024,12,10,Joeman Sachs,Jerry Jeudy,False
2024,13,1,Joeman Sachs,Chase Claypool,False
2024,13,2,Pay Chase and Chase,Romeo Doubs,False
2024,13,3,The Joe Joe Siwas,Dameon Pierce,False
2024,13,4,Captain Kirk,Brandon Aubrey,False
2024,13,5,Brockenheimer,Dallas Goedert,False
2024,13,6,Team,Mike Williams,False
2024,13,7,Women in the Kitchen ,Ezekiel Elliott,False
2024,13,8,Rijan Bobinson,Tyler Lockett,False
2024,13,9,Titans Kickoff TD,Caleb Williams,False
2024,13,10,Personal Caddy For Hire,Jets D/ST,False
2024,14,1,Personal Caddy For Hire,Jayden Daniels,False
2024,14,2,Titans Kickoff TD,Ravens D/ST,False
2024,14,3,Rijan Bobinson,Khalil Shakir,False
2024,14,4,Women in the Kitchen ,Cowboys D/ST,False
2024,14,5,Team,Tank Bigsby,False
2024,14,6,Brockenheimer,J.K. Dobbins,False
2024,14,7,Captain Kirk,Pat Freiermuth,False
2024,14,8,The Joe Joe Siwas,Ray Davis,False
2024,14,9,Pay Chase and Chase,MarShawn Lloyd,False
2024,14,10,Joeman Sachs,Allen Lazard,False
2024,15,1,Joeman Sachs,D'Onta Foreman,False
2024,15,2,Pay Chase and Chase,Browns D/ST,False
2024,15,3,The Joe Joe Siwas,Steelers D/ST,False
2024,15,4,Captain Kirk,Saints D/ST,False
2024,15,5,Brockenheimer,Chiefs D/ST,False
2024,15,6,Team,Bills D/ST,False
2024,15,7,Women in the Kitchen ,Harrison Butker,False
2024,15,8,Rijan Bobinson,Jake Moody,False
2024,15,9,Titans Kickoff TD,Tyler Conklin,False
2024,15,10,Personal Caddy For Hire,Younghoe Koo,False
2024,16,1,Personal Caddy For Hire,Bears D/ST,False
2024,16,2,Titans Kickoff TD,Jason Sanders,False
2024,16,3,Rijan Bobinson,Eagles D/ST,False
2024,16,4,Women in the Kitchen ,Josh Downs,False
2024,16,5,Team,Daniel Carlson,False
2024,16,6,Brockenheimer,Greg Zuerlein,False
2024,16,7,Captain Kirk,Antonio Gibson,False
2024,16,8,The Joe Joe Siwas,Chris Boswell,False
2024,16,9,Pay Chase and Chase,Evan McPherson,False
2024,16,10,Joeman Sachs,Baker Mayfield,False
