year,round,pick,team,player,keeper
2023,12,6,Wookie Wunningbacks,Gerald Everett,False
2023,12,7,Keenan Allen and the Cats,Mike Gesicki,False
2023,12,8,Dead Inside ,Jakobi Meyers,False
2023,12,9,Need to AddiZyn,De'Von Achane,False
2023,12,10,Joeman Sachs,Tyler Higbee,False
2023,13,1,Joeman Sachs,49ers D/ST,False
2023,13,2,Need to AddiZyn,Anthony Richardson,False
2023,13,3,Dead Inside ,Tyler Boyd,False
2023,13,4,Keenan Allen and the Cats,Joshua Kelley,False
2023,13,5,Wookie Wunningbacks,Cowboys D/ST,False
2023,13,6,Mr. Pfizer,Jameson Williams,False
2023,13,7,Tua Turndaballova,Van Jefferson,False
2023,13,8,Love White Rice ,Tank Bigsby,False
2023,13,9,Bennie and the Jets ,Rashaad Penny,False
2023,13,10,Captain Kirk,Jerick McKinnon,False
2023,14,1,Captain Kirk,Tyler Bass,False
2023,14,2,Bennie and the Jets ,Zack Moss,False
2023,14,3,Love White Rice ,Treylon Burks,False
2023,14,4,Tua Turndaballova,Tyler Allgeier,False
2023,14,5,Mr. Pfizer,Bills D/ST,False
2023,14,6,Wookie Wunningbacks,Dak Prescott,False
2023,14,7,Keenan Allen and the Cats,Steelers D/ST,False
2023,14,8,Dead Inside ,Jets D/ST,False
2023,14,9,Need to AddiZyn,Tank Dell,False
2023,14,10,Joeman Sachs,Aaron Rodgers,False
2023,15,1,Joeman Sachs,Jalin Hyatt,False
2023,15,2,Need to AddiZyn,Daniel Carlson,False
2023,15,3,Dead Inside ,Harrison Butker,False
2023,15,4,Keenan Allen and the Cats,Evan McPherson,False
2023,15,5,Wookie Wunningbacks,Jason Sanders,False
2023,15,6,Mr. Pfizer,Ezekiel Elliott,False
2023,15,7,Tua Turndaballova,Patriots D/ST,False
2023,15,8,Love White Rice ,Eagles D/ST,False
2023,15,9,Bennie and the Jets ,Ravens D/ST,False
2023,15,10,Captain Kirk,Broncos D/ST,False
2023,16,1,Captain Kirk,Adam Thielen,False
2023,16,2,Bennie and the Jets ,Brandon McManus,False
2023,16,3,Love White Rice ,Younghoe Koo,False
2023,16,4,Tua Turndaballova,Greg Zuerlein,False
2023,16,5,Mr. Pfizer,Graham Gano,False
2023,16,6,Wookie Wunningbacks,Allen Robinson II,False
2023,16,7,Keenan Allen and the Cats,Trenton Irwin,False
2023,16,8,Dead Inside ,Jake Ferguson,False
2023,16,9,Need to AddiZyn,Saints D/ST,False
2023,16,10,Joeman Sachs,Cade Otton,False
