year,week,home_team,home_score,away_team,away_score,playoff
2021,1,Is Saquon  Toast? Yes,102.46,Team Bag,95.22,False
2021,1,Leaping  Gnome's,117.54,Run C.M.C.,109.0,False
2021,1,Darth  Goose,90.24,Fantasy  Football Team ,133.86,False
2021,1,Chuba Chubb,116.48,Im George K,102.28,False
2021,1,Slop 'em  up,114.66,Party Party Party Party,130.06,False
2021,2,Run C.M.C.,138.86,Fantasy  Football Team ,141.9,False
2021,2,Im George K,126.82,Is Saquon  Toast? Yes,119.64,False
2021,2,Party Party Party Party,111.12,Team Bag,121.5,False
2021,2,Chuba Chubb,122.28,Leaping  Gnome's,82.16,False
2021,2,Slop 'em  up,102.7,Darth  Goose,98.12,False
2021,3,Im George K,113.5,Party Party Party Party,132.42,False
2021,3,Run C.M.C.,85.38,Chuba Chubb,118.38,False
2021,3,Fantasy  Football Team ,96.94,Slop 'em  up,121.64,False
2021,3,Is Saquon  Toast? Yes,99.28,Leaping  Gnome's,83.72,False
2021,3,Team Bag,146.84,Darth  Goose,116.02,False
2021,4,Chuba Chubb,90.24,Slop 'em  up,94.58,False
2021,4,Leaping  Gnome's,87.52,Im George K,98.82,False
2021,4,Darth  Goose,90.1,Party Party Party Party,125.66,False
2021,4,Is Saquon  Toast? Yes,93.96,Run C.M.C.,129.84,False
2021,4,Team Bag,136.92,Fantasy  Football Team ,117.52,False
2021,5,Leaping  Gnome's,91.7,Darth  Goose,127.9,False
2021,5,Chuba Chubb,121.8,Is Saquon  Toast? Yes,104.74,False
2021,5,Slop 'em  up,151.62,Team Bag,96.76,False
2021,5,Im George K,131.08,Run C.M.C.,162.28,False
2021,5,Party Party Party Party,128.68,Fantasy  Football Team ,124.76,False
2021,6,Team Bag,127.9,Run C.M.C.,88.78,False
2021,6,Fantasy  Football Team ,122.36,Im George K,89.88,False
2021,6,Party Party Party Party,122.28,Chuba Chubb,124.54,False
2021,6,Slop 'em  up,97.2,Leaping  Gnome's,120.22,False
2021,6,Darth  Goose,113.14,Is Saquon  Toast? Yes,100.88,False
2021,7,Im George K,68.94,Team Bag,127.56,False
2021,7,Chuba Chubb,94.84,Fantasy  Football Team ,118.64,False
2021,7,Leaping  Gnome's,100.4,Party Party Party Party,101.38,False
2021,7,Is Saquon  Toast? Yes,109.64,Slop 'em  up,161.74,False
2021,7,Run C.M.C.,84.88,Darth  Goose,168.86,False
2021,8,Team Bag,120.26,Chuba Chubb,107.36,False
2021,8,Fantasy  Football Team ,68.46,Leaping  Gnome's,109.46,False
