year,round,pick,team,player,keeper
2018,12,9,Johnny Malandro Friends Friend,Rams D/ST,False
2018,12,10,"LeÂÂVeon, Pick up the pen",Vikings D/ST,False
2018,13,1,"LeÂÂVeon, Pick up the pen",Kenny Stills,False
2018,13,2,Johnny Malandro Friends Friend,David Njoku,False
2018,13,3,Large 66,Matthew Stafford,False
2018,13,4,Thielan up Kelce,Philip Rivers,False
2018,13,5,Tim Butler,Giovani Bernard,False
2018,13,6,Team donner,DeSean Jackson,False
2018,13,7,Half Chubbs,Latavius Murray,False
2018,13,8,Team Carey,Chris Carson,False
2018,13,9,Team Fisher,Theo Riddick,False
2018,13,10,Bball And BBQ?,Justin Tucker,False
2018,14,1,Bball And BBQ?,Jimmy Garoppolo,False
2018,14,2,Team Fisher,Texans D/ST,False
2018,14,3,Team Carey,Patrick Mahomes,False
2018,14,4,Half Chubbs,Dez Bryant,False
2018,14,5,Team donner,Jordan Wilkins,False
2018,14,6,Tim Butler,Allen Hurns,False
2018,14,7,Thielan up Kelce,Chargers D/ST,False
2018,14,8,Large 66,Mike Williams,False
2018,14,9,Johnny Malandro Friends Friend,Robbie Gould,False
2018,14,10,"LeÂÂVeon, Pick up the pen",Ryan Succop,False
2018,15,1,"LeÂÂVeon, Pick up the pen",Jeremy Hill,False
2018,15,2,Johnny Malandro Friends Friend,Cameron Brate,False
2018,15,3,Large 66,Chris Boswell,False
2018,15,4,Thielan up Kelce,Tyler Eifert,False
2018,15,5,Tim Butler,Ravens D/ST,False
2018,15,6,Team donner,Alex Smith,False
2018,15,7,Half Chubbs,Patriots D/ST,False
2018,15,8,Team Carey,Broncos D/ST,False
2018,15,9,Team Fisher,Marcus Mariota,False
2018,15,10,Bball And BBQ?,Josh Doctson,False
2018,16,1,Bball And BBQ?,Rishard Matthews,False
2018,16,2,Team Fisher,Doug Martin,False
2018,16,3,Team Carey,Wil Lutz,False
2018,16,4,Half Chubbs,Harrison Butker,False
2018,16,5,Team donner,Saints D/ST,False
2018,16,6,Tim Butler,Matt Bryant,False
2018,16,7,Thielan up Kelce,Matt Prater,False
2018,16,8,Large 66,Cole Beasley,False
2018,16,9,Johnny Malandro Friends Friend,Jared Goff,False
2018,16,10,"LeÂÂVeon, Pick up the pen",Tyler Lockett,False
2019,1,1,Second Round Bye,Saquon Barkley,False
2019,1,2,Autodrafts 2.0,Christian McCaffrey,False
2019,1,3,I  Absolutely suck,Alvin Kamara,False
2019,1,4,Doug Dimmadome,Ezekiel Elliott,False
2019,1,5,Fourn(ette) ication,DeAndre Hopkins,False
2019,1,6,New Season New me,Le'Veon Bell,False
2019,1,7,Dont call it  A come back,Todd Gurley II,False
2019,1,8,Full Chubb,David Johnson,False
2019,1,9,B T C,Michael Thomas,False
2019,1,10,200 .0,Davante Adams,False
2019,2,1,200 .0,James Conner,False
2019,2,2,B T C,Julio Jones,False
2019,2,3,Full Chubb,Nick Chubb,False
2019,2,4,Dont call it  A come back,Tyreek Hill,False
2019,2,5,New Season New me,Odell Beckham Jr.,False
2019,2,6,Fourn(ette) ication,Travis Kelce,False
2019,2,7,Doug Dimmadome,Joe Mixon,False
2019,2,8,I  Absolutely suck,Antonio Brown,False
2019,2,9,Autodrafts 2.0,JuJu Smith-Schuster,False
2019,2,10,Second Round Bye,Dalvin Cook,False
2019,3,1,Second Round Bye,Mike Evans,False
